Identifier,NS1,NS2,NS3,NS4,NS Total,HA1,HA2,HA3,HA4,HA Total,RD1,RD2,RD3,RD4,RD Total,P1,P2,P3,P4,P Total,SD1,SD2,SD3,SD4,SD5,SD Total,CO1,CO2,CO3,CO4,CO5,CO Total,ST1,ST2,ST3,ST Total
AREPO,3.2,2.22,3.89,2.57,2.97,1.73,3.14,2.71,2.75,2.58,3.63,3.4,3.33,2.83,3.3,3.56,4.33,4.22,3.38,3.87,4.13,4.67,4,4,3,3.96,4.25,3,4.5,3.71,4,3.89,3.9,4.13,4,4.01
0xCa63608615DE005339652C0ECA93C5836eB0C2BD,4.6,4,4.56,3.29,4.11,1.73,2.57,1.57,1.75,1.91,4.25,4.2,5,3.5,4.24,3.33,3.83,4.11,3.38,3.66,3.88,4.67,2.8,3,2,3.27,4.13,3.8,4.75,4.43,4.63,4.35,4.7,4.25,4,4.32
Mbern,4.3,2.89,2.78,3.86,3.46,1.82,1.57,3,3.63,2.5,3.75,4.2,4.17,3.17,3.82,4.44,4.33,4.33,3.75,4.22,4.88,5,4.6,3.9,3.91,4.46,4.13,5,4.38,4.29,3.88,4.33,4.1,3.63,4.25,3.99
G-Spaceman,3.4,2.78,2.33,3.57,3.02,1.73,1.86,2.29,1.75,1.91,2.38,3.2,3.5,2.67,2.94,3.78,4.5,4.56,4.38,4.3,4.5,4.83,4.2,3.2,4.55,4.26,3.75,3.6,3.75,4.86,4.13,4.02,3.6,3.63,4.75,3.99
gfrpaac,3.7,2.33,2,3.29,2.83,1.18,1.57,1,1.38,1.28,3.38,4.5,4,2.5,3.59,3.89,4.5,4,3.88,4.07,5,4.5,4.2,3.9,4.45,4.41,4.75,4.6,4.75,5,5,4.82,4.2,4.13,4.5,4.28
0xB31D66EB5c34CE22E6ad39bEee0dfcb1C17145da,3.8,2.33,2.89,2.29,2.83,3,2.57,4.29,2.75,3.15,3.75,2.7,2.5,3.83,3.2,2.56,3.5,4,3.38,3.36,3.5,3.33,3.2,3.1,3.82,3.39,4,3.8,4.88,4.14,4.88,4.34,3.6,3.5,1.88,2.99
Szpilman,3.6,2.33,3.78,3.14,3.21,2.45,1.43,1.43,1.63,1.73,4.5,4.5,4.17,2.33,3.88,3.22,3.67,4.22,4.75,3.97,3.75,3.5,3,4,3.55,3.56,3.13,4.8,4,3.86,4,3.96,4.6,5,4.75,4.78
707,4.2,3.33,3.22,3.14,3.47,1.82,2.14,1.43,1.63,1.75,2.88,3.6,3.5,3.17,3.29,3.22,4.83,4.67,4.88,4.4,4.5,4.83,4.4,3,3.91,4.13,4.5,4.4,4.25,4.57,4.5,4.44,3.2,4.25,3.75,3.73
Cew570,3.1,3.44,2.33,3.71,3.15,3.27,3.71,4.86,3.75,3.9,4.38,3.3,2.83,3.83,3.59,2.78,2.83,2.78,2.38,2.69,3.25,2.5,2.8,2.3,2.45,2.66,4,4,4.25,3.86,3.75,3.97,4,3,2.38,3.13
wec01,3.3,3.33,2.56,3.57,3.19,3.18,3.57,4.71,3.63,3.77,4.38,3.2,3,4,3.64,2.78,2.67,2.89,2.25,2.65,3.5,2.5,2.6,2.2,2.64,2.69,4,4.4,4.5,4.29,3.88,4.21,3.8,2.88,2.13,2.93
5 SPIRALS,3.2,2.33,3,2.57,2.78,2.91,4.86,2.86,2.13,3.19,4.5,4.5,4.33,4.17,4.38,3.44,4.17,2.67,2.88,3.29,2.25,3.33,2.8,3.9,2.91,3.04,4.25,4,4.5,4.71,4,4.29,4.5,3.5,4.63,4.21
shpongley,4,2.11,4,4.57,3.67,3.73,2.57,3.57,4.38,3.56,4.25,3.2,3.17,3.5,3.53,2.11,2.17,2.67,2.25,2.3,2.63,3.83,4,1.8,1.82,2.82,4,4.4,3.88,4.43,3.63,4.07,3.7,2.75,4,3.48
0xefcdc3a4164846b7e39c4708a7c816f4459f26bf,3.4,3.11,2.22,3,2.93,1.55,1.86,1.29,1.5,1.55,2.25,4,3.5,3.17,3.23,4.67,4.67,4.67,4.5,4.63,4.5,4.67,4.4,3.8,4.45,4.36,4.63,3.4,4.63,4.43,4.25,4.27,3.4,4.25,4.63,4.09
bjmbb,3.2,2,2.67,2.14,2.5,2.64,2.71,1.71,2.5,2.39,3.88,3.8,3.17,3.67,3.63,3.56,3.67,3.33,4.13,3.67,5,3.33,3.6,3.5,4.09,3.9,4.38,3.8,4.38,4.57,4.63,4.35,3.2,3.63,3.13,3.32
razer,2.8,1.89,1.33,3.14,2.29,2.73,2.43,3.14,3.25,2.89,2.88,1.5,1,2.5,1.97,3,4.17,4.44,4,3.9,3.13,3.33,4.2,2.4,3.91,3.39,4.25,4,3.38,4.14,4.13,3.98,4.3,3.13,3.25,3.56
vest,3.5,2.78,3.22,2.86,3.09,1.82,2.14,1.86,1.25,1.77,3.13,4.1,3.83,3.33,3.6,3.78,4.33,3.22,3.75,3.77,4.38,4.17,3.2,3.9,3.45,3.82,4.63,3.6,3.88,4.57,3.88,4.11,4.1,3.5,4.5,4.03
0x3A90BAbE982E6E068648EB1980534b426Af33Da1,2.8,3.33,1.78,3.86,2.94,2.18,2.86,1.86,2.5,2.35,3.38,3.9,3.5,4,3.69,1.67,3.33,3.67,3,2.92,4.13,4.33,4.6,4.2,4.18,4.29,4.63,4.6,4.5,4.14,4.63,4.5,3.3,3.13,2.38,2.93
jackpot,3.3,2.33,2.22,3.57,2.86,2.09,2.71,2.29,1.75,2.21,2.75,3.4,2.67,2.17,2.75,4.11,4.67,4.78,5,4.64,4.38,4.5,4.6,3.7,3.91,4.22,3.13,3.4,3.75,4.57,3.63,3.69,3.8,3.75,2.5,3.35
Ixeor,3.9,4.33,1.89,2.86,3.24,1.82,2.86,2.57,1.63,2.22,4.25,4.5,4.17,3.33,4.06,4,4.5,4.22,3.88,4.15,4.25,4.83,3.6,3.3,4.18,4.03,4.88,4.6,4.5,5,4.75,4.75,4.6,4.5,5,4.7
imightbeacat,3.9,3,3.22,3.43,3.39,2.73,3.43,3.43,3.75,3.33,3.63,3.7,3.67,3.5,3.62,2.67,2.67,3.11,3.13,2.89,4.13,3.67,3.6,2.6,3,3.4,3.5,3.4,3.25,3.86,4.38,3.68,4,3.75,4.5,4.08
